platformId;name;alternate_name;release;company;generation;type;family;retroCompatibility;locked
218;Tatung Einstein;;1984;Tatung;;Computer;;;1
147;Television Computer System;;1979;Teleng;2;Home video game console;Television Computer System, 1292 Advanced Programmable Video System;;1
148;Television Computer System;;1979;Rowtron;2;Home video game console;Television Computer System, 1292 Advanced Programmable Video System;;1
234;Terebikko;;10/06/1905;Bandai;;Home video game console;;;1
201;Thomson;;1982;Thomson;;Computer;;;1
8;Thumby;;2022;TinyCircuits;9;Handheld console;;;0
209;TI-99/4;TI-99/4A;oct-79;Texas Instruments;;Computer;;;1
211;Timex Sinclair 1000;T/S 1000;jul-82;Sinclair Research;;Computer;;;1
210;Timex Sinclair 2068;T/S 2068;nov-83;Sinclair Research;;Computer;;;1
202;Tomy Tutor;Py?ta, Grandstand Tutor;1982;Tomy;;Computer;;;1
172;TRS-80;TRS-80 Micro Computer System;03/08/1977;Tandy;;Computer;;;1
77;TurboGrafx-16;PC Engine;30/10/1987;NEC;4;Home video game console;;;1
80;TurboGrafx-CD;CD-ROM�;04/12/1988;NEC;4;Console accessory;;;1
31;V.Flash;;sep-06;Vtech;7;Home video game console;;;1
142;VC 4000;;1978;Interton;2;Home video game console;Interton VC-4000, 1292 Advanced Programmable Video System;;1
151;VC-6000;;1979;Prinztonic;2;Home video game console;1292 Advanced Programmable Video System;;1
118;Vectrex;;nov-82;General Consumer Electronics;2;Home video game console;;;1
190;VIC-20;VC-20, VIC-1001;1980;Commodore;;Computer;;;1
140;Video Computer H-21;;;TRQ;2;Home video game console;Interton VC-4000, 1292 Advanced Programmable Video System;;1
144;Vid�o Ordinateur MPT-05;;1983;ITMC;2;Home video game console;1292 Advanced Programmable Video System;;1
173;VideoBrain Family Computer;;1977;Umtech Incorporated;;Computer;;;1
36;VideoNow XP;;2005;Hasbro;7;Handheld console;;;1
100;Videopac+ G7400;;1983;Philips;3;Home video game console;Videopac;;1
112;View-Master Interactive Vision;;1989;View-Master Ideal Group Inc.;3;Home video game console;;;1
72;Virtual Boy;;21/07/1995;Nintendo;5;VR Headset;;;1
79;VIS;Tandy Video Information System;1992;Tandy;4;Home video game console;;;1
130;VTech CreatiVision;Dick Smith Wizzard, FunVision Computer Video Games System, Hanimex Rameses, Educat 2002;1982;VTech;2;Home video game console, Computer;;;1
26;Wii;;19/11/2006;Nintendo;7;Home video game console;Wii;;
13;Wii U;;18/11/2012;Nintendo;8;Home video game console;Wii;;
232;Windows;;20/11/1985;Microsoft;;Computer;;;1
53;WonderSwan;;04/03/1999;Bandai;6;Handheld console;WonderSwan;;1
54;WonderSwan Color;;09/12/2000;Bandai;6;Handheld console;WonderSwan;;1
199;X1;Sharp X1;1982;Sharp;;Computer;;;1
226;X68000;;28/03/1987;Sharp;;Computer;;;1
32;XaviXPORT;Domyos Interactive System;2004;SSD Company Limited;6;Home video game console;;;1
47;Xbox;;15/11/2001;Microsoft;6;Home video game console;Xbox;;1
24;Xbox 360;;22/11/2005;Microsoft;7;Home video game console;Xbox;;
15;Xbox One;;22/11/2013;Microsoft;8;Home video game console;Xbox;;
2;Xbox Series X/S;;10/11/2020;Microsoft;9;Home video game console;Xbox;Xbox One, Xbox 360, Xbox;0
28;Zeebo;;25/05/2009;Zeebo Inc.;7;Home video game console;;;1
203;ZX Spectrum;;23/04/1982;Sinclair Research;;Computer;;;1
223;ZX Spectrum 128;ZX Spectrum +2;sep-85;Sinclair Research;;Computer;;;1
191;ZX81;;05/03/1981;Sinclair Research;;Computer;;;1
;PC Engine SuperGrafx;SuperGrafx;08/12/1989;NEC;4;Home video game console;;;1
;Oculus Go;;01/05/2018;Facebook Technologies, Qualcomm, Xiaomi;;VR Headset;;;0
;HTC Vive;;abr-16;HTC;;VR Headset;;;0
;VTech Handheld;;1979;Vtech;;Handheld console;;;0
;Bandai LCD Solarpower;;1982;Bandai;;Handheld console;;;0
;Tiger Electronics Handheld Series;;1987;Tiger Electronics;;Handheld console;;;0
;Nintendo Mini Classics;;1998;Nintendo;;Handheld console;;;0
;Pok�mon Pikachu;;27/03/1998;Nintendo;;Handheld console;;;1
;Pok�mon Pikachu 2 GS;;1999;Nintendo;;Handheld console;;;1
;Tamagotchi;;23/11/1996;Bandai;;Handheld console;;;1
;Digi Casse;;1984;Bandai;;Handheld console;;;1
;Barcode Battler;;1991;Epoch Co.;;Handheld console;;;1
;Arcade;;;;;Arcade;;;0
;Bandai LCD Solarpower;;1982;Bandai;;Handheld console;;;1
